No.,Symbol,Market Cap,Company Name,Exchange,Sector
1,NVDA,4329383540000,NVIDIA Corporation,NASDAQ,Technology
2,AAPL,4092606490410,Apple Inc.,NASDAQ,Technology
3,GOOG,3905568091662,Alphabet Inc.,NASDAQ,Communication Services
4,GOOGL,3903154565465,"Alphabet, Inc.",NASDAQ,Communication Services
5,MSFT,3545471339732,Microsoft Corporation,NASDAQ,Technology
6,AMZN,2455086763772,"Amazon.com, Inc.",NASDAQ,Consumer Discretionary
7,AVGO,1808961789754,Broadcom Inc.,NASDAQ,Technology
8,META,1603646662502,"Meta Platforms, Inc.",NASDAQ,Communication Services
9,TSLA,1350590279425,"Tesla, Inc.",NASDAQ,Consumer Discretionary
10,NFLX,442283767124,"Netflix, Inc.",NASDAQ,Communication Services
11,COST,396350493903,Costco Wholesale Corporation,NASDAQ,Consumer Staples
12,PLTR,373602827663,Palantir Technologies Inc.,NASDAQ,Technology
13,ASML,388849103310,ASML Holding N.V.,NASDAQ,Technology
14,AMD,334552560584,"Advanced Micro Devices, Inc.",NASDAQ,Technology
15,CSCO,301547537048,"Cisco Systems, Inc.",NASDAQ,Technology
16,AZN,289093912864,AstraZeneca PLC,NASDAQ,Healthcare
17,MU,250574211855,"Micron Technology, Inc.",NASDAQ,Technology
18,TMUS,231442726073,"T-Mobile US, Inc.",NASDAQ,Communication Services
19,ISRG,206790001590,"Intuitive Surgical, Inc.",NASDAQ,Healthcare
20,SHOP,204868189391,Shopify Inc.,NASDAQ,Technology
21,PEP,199788244071,"PepsiCo, Inc.",NASDAQ,Consumer Staples
22,AMAT,193153922850,"Applied Materials, Inc.",NASDAQ,Technology
23,LRCX,190828637900,Lam Research Corporation,NASDAQ,Technology
24,LIN,190451089985,Linde plc,NASDAQ,Materials
25,APP,187924943184,AppLovin Corporation,NASDAQ,Communication Services
26,AMGN,183681141685,Amgen Inc.,NASDAQ,Healthcare
27,INTU,180685160238,Intuit Inc.,NASDAQ,Technology
28,QCOM,174894300000,QUALCOMM Incorporated,NASDAQ,Technology
29,INTC,157577103978,Intel Corporation,NASDAQ,Technology
30,PDD,159520074714,PDD Holdings Inc.,NASDAQ,Consumer Discretionary
31,BKNG,158146832506,Booking Holdings Inc.,NASDAQ,Consumer Discretionary
32,GILD,157715193676,"Gilead Sciences, Inc.",NASDAQ,Healthcare
33,KLAC,150561166191,KLA Corporation,NASDAQ,Technology
34,TXN,146987945945,Texas Instruments Incorporated,NASDAQ,Technology
35,ARM,138801654717,Arm Holdings plc,NASDAQ,Technology
36,ADBE,133764591526,Adobe Inc.,NASDAQ,Technology
37,PANW,124568883392,"Palo Alto Networks, Inc.",NASDAQ,Technology
38,CRWD,126918525294,"CrowdStrike Holdings, Inc.",NASDAQ,Technology
39,ADI,124948923470,"Analog Devices, Inc.",NASDAQ,Technology
40,SNY,123759313527,Sanofi,NASDAQ,Healthcare
41,HON,121276154472,Honeywell International Inc.,NASDAQ,Industrials
42,CEG,109802368548,Constellation Energy Corporation,NASDAQ,Utilities
43,VRTX,110301616194,Vertex Pharmaceuticals Incorporated,NASDAQ,Healthcare
44,MELI,104183099460,"MercadoLibre, Inc.",NASDAQ,Consumer Discretionary
45,HOOD,102285532565,"Robinhood Markets, Inc.",NASDAQ,Financials
46,ADP,103664800439,"Automatic Data Processing, Inc.",NASDAQ,Technology
47,CME,99878059286,CME Group Inc.,NASDAQ,Financials
48,SBUX,97687758427,Starbucks Corporation,NASDAQ,Consumer Discretionary
49,CMCSA,97221958366,Comcast Corporation,NASDAQ,Communication Services
50,NTES,89334558197,"NetEase, Inc.",NASDAQ,Communication Services
51,ORLY,85675731911,"O'Reilly Automotive, Inc.",NASDAQ,Consumer Discretionary
52,DASH,84252319103,"DoorDash, Inc.",NASDAQ,Consumer Discretionary
53,CDNS,82656555660,"Cadence Design Systems, Inc.",NASDAQ,Technology
54,MAR,81611147895,"Marriott International, Inc.",NASDAQ,Consumer Discretionary
55,REGN,81316234608,"Regeneron Pharmaceuticals, Inc.",NASDAQ,Healthcare
56,SNPS,74596097233,"Synopsys, Inc.",NASDAQ,Technology
57,CTAS,74113295341,Cintas Corporation,NASDAQ,Industrials
58,EQIX,72978474299,"Equinix, Inc.",NASDAQ,Real Estate
59,MNST,73100558363,Monster Beverage Corporation,NASDAQ,Consumer Staples
60,MDLZ,72971212052,"Mondelez International, Inc.",NASDAQ,Consumer Staples
61,MRVL,71937811257,"Marvell Technology, Inc.",NASDAQ,Technology
62,ABNB,73327917480,"Airbnb, Inc.",NASDAQ,Consumer Discretionary
63,COIN,65024767130,"Coinbase Global, Inc.",NASDAQ,Financials
64,CSX,64988579764,CSX Corporation,NASDAQ,Industrials
65,AEP,65072475926,"American Electric Power Company, Inc.",NASDAQ,Utilities
66,ADSK,63154294885,"Autodesk, Inc.",NASDAQ,Technology
67,WDAY,62395587078,"Workday, Inc.",NASDAQ,Technology
68,IDXX,61220417684,"IDEXX Laboratories, Inc.",NASDAQ,Healthcare
69,FTNT,61780719149,"Fortinet, Inc.",NASDAQ,Technology
70,TRI,60200117121,Thomson Reuters Corporation,NASDAQ,Industrials
71,ROST,57402435949,"Ross Stores, Inc.",NASDAQ,Consumer Discretionary
72,PYPL,57280612563,"PayPal Holdings, Inc.",NASDAQ,Financials
73,STX,55651404227,Seagate Technology Holdings plc,NASDAQ,Technology
74,WBD,56887149437,"Warner Bros. Discovery, Inc.",NASDAQ,Communication Services
75,ALNY,56782518976,"Alnylam Pharmaceuticals, Inc.",NASDAQ,Healthcare
76,DDOG,55752730440,"Datadog, Inc.",NASDAQ,Technology
77,ARGX,56146598390,argenx SE,NASDAQ,Healthcare
78,PCAR,55103813295,PACCAR Inc,NASDAQ,Industrials
79,WDC,53965284996,Western Digital Corporation,NASDAQ,Technology
80,NDAQ,51191416719,"Nasdaq, Inc.",NASDAQ,Financials
81,EA,50295249251,Electronic Arts Inc.,NASDAQ,Communication Services
82,MSTR,49456794406,Strategy Inc,NASDAQ,Technology
83,BKR,48776232987,Baker Hughes Company,NASDAQ,Energy
84,NXPI,48074857450,NXP Semiconductors N.V.,NASDAQ,Technology
85,ROP,48049512218,"Roper Technologies, Inc.",NASDAQ,Technology
86,XEL,47543918574,Xcel Energy Inc.,NASDAQ,Utilities
87,FER,47584139992,Ferrovial SE,NASDAQ,Industrials
88,EXC,46243645385,Exelon Corporation,NASDAQ,Utilities
89,FAST,46015653349,Fastenal Company,NASDAQ,Industrials
90,TCOM,46246232001,Trip.com Group Limited,NASDAQ,Consumer Discretionary
91,ZS,44736689814,"Zscaler, Inc.",NASDAQ,Technology
92,SYM,46674513490,Symbotic Inc.,NASDAQ,Industrials
93,TTWO,44686219376,"Take-Two Interactive Software, Inc.",NASDAQ,Communication Services
94,INSM,44578420490,Insmed Incorporated,NASDAQ,Healthcare
95,MPWR,43528656608,"Monolithic Power Systems, Inc.",NASDAQ,Technology
96,FANG,42745542197,"Diamondback Energy, Inc.",NASDAQ,Energy
